ID,Name,Status,Object Type,Category,Description,Enrolled Total,Created In,Created Date,Created By
HS-WF-055,Unnamed workflow - Tue Jun 29 2021 12:16:06 GMT+1000,Off,Contact,Test/Unused,Enrols contacts with @connective.com.au email but performs no actions.,,Workflows tool,29 June 2021,Jayden Vecchio
HS-WF-056,[Mercury Trigger] Future Opportunity (<6mth) - Email Workflow,Off,Contact,Mercury/CRM Trigger,Sends a series of timed emails and SMS messages with property search tips to contacts with loan status Future Opportunity (<6 months).,"2,526",Workflows tool,4 January 2021,Jayden Vecchio
HS-WF-057,[Mercury Trigger] 2.1 Pre Approved Workflow,Off,Contact,Mercury/CRM Trigger,Sends a series of timed emails and SMS messages with property tips and pre-approval reminders.,528,Workflows tool,4 January 2021,Jayden Vecchio
HS-WF-058,[Mercury Trigger] 6.1 Settled: Post Settlement Automated Process (Up to 3 years),Off,Contact,Mercury/CRM Trigger,Sends a series of timed emails and SMS messages to contacts with settled loans within the past 3 years.,"1,481",Workflows tool,4 January 2021,Jayden Vecchio
HS-WF-059,Birthday Message (v2) (cloned),Off,Contact,Customer Experience,Sends a birthday message email to contacts with known birthdates.,,Workflows tool,23 December 2020,Jayden Vecchio
HS-WF-060,[Website Trigger] HG: FIF: New Subscriber,On,Contact,Lead Processing,Sends internal notification and updates contact properties when someone submits signup or exit intent forms.,402,Workflows tool,7 December 2020,Jayden Vecchio
HS-WF-061,[Website Trigger] HG: Home & Hosed (Website Popup),On,Contact,Lead Processing,Sends a series of emails and updates lead source to Pop up for contacts who submit the Home Hosed pop-up form.,79,Workflows tool,7 December 2020,Jayden Vecchio
HS-WF-062,[Website Trigger] HG: Guide to Brisbane (Website Popup 2.0),On,Contact,Lead Processing,Sends a series of emails and updates lead properties for contacts who submit Brisbane guide popup forms.,632,Workflows tool,7 December 2020,Jayden Vecchio
HS-WF-063,[Website Trigger] HG: Covid 19 - Brisbane Housing Market during the Coronavirus in 2020,On,Contact,Lead Processing,Sends an email about the 2020 Brisbane housing market to contacts who submitted the Covid-19 pop-up form.,270,Workflows tool,7 December 2020,Jayden Vecchio
HS-WF-064,Mock Flag,On,Deal,Other,Sets the Mock property to Yes for deals that have ever been in the 2.4 Mock Pre Approval stage.,"5,519",Workflows tool,23 November 2020,Jayden Vecchio
HS-WF-065,Settlement Smarts,Off,Contact,Other,Delays actions for 30 days after the loan settlement date.,,Workflows tool,22 September 2020,Jayden Vecchio
HS-WF-066,BID > Goal Assessment Form,Off,Contact,Other,"Sends a goal assessment form email to contacts planning to refinance, followed by reminders.",328,Workflows tool,11 September 2020,Jayden Vecchio
HS-WF-067,Unnamed workflow - Tue Jun 23 2020 10:05:44 GMT+1000,Off,Contact,Test/Unused,Delays workflow actions until 12:00 PM on the contact's loan settlement date.,,Workflows tool,23 June 2020,Jayden Vecchio
HS-WF-068,Unnamed workflow - Sat Jun 20 2020 04:25:49 GMT+1000,On,Contact,Integration/Webhook,Sends a webhook request when manually triggered.,1,Workflows tool,20 June 2020,Jayden Vecchio
HS-WF-069,(((((MANUAL)))) HomeBuilder Enquiry [New Lead] send webinar,On,Contact,Lead Processing,"Sends a webinar invite email and SMS to new leads, updates contact owner, triggers marketing email and webhook.",94,Workflows tool,19 June 2020,Jayden Vecchio
HS-WF-070,Unnamed workflow - Mon Jun 15 2020 21:18:46 GMT+1000,Off,Contact,Integration/Webhook,Sends a webhook when manually triggered.,2,Workflows tool,15 June 2020,Jayden Vecchio
HS-WF-071,[Hubs] Update Mortgage Broker / Supervisor in Mercury,Off,Contact,Other,,,Workflows tool,12 June 2020,Jayden Vecchio
HS-WF-072,Unnamed workflow - Thu Jun 11 2020 11:51:37 GMT+1000,Off,Deal,Test/Unused,Enrols deals with status 6.1 Settled (Not Paid) but has no actions.,,Workflows tool,11 June 2020,Jayden Vecchio
HS-WF-073,5 Bullet Finance - Opt in,On,Contact,Other,"Updates email subscription to opt-in for contacts who visit specific pages, click CTAs, belong to a list, or submit forms.","4,661",Workflows tool,10 June 2020,
HS-WF-074,Assign new web leads,Off,Contact,Lead Processing,Assigns new contacts who submit a form to specific owners.,,Workflows tool,8 June 2020,Jayden Vecchio
HS-WF-075,Unnamed workflow - Mon Jun 08 2020 09:39:39 GMT+1000,Off,Contact,Test/Unused,Targets contacts with known mobile phone but no actions.,,Workflows tool,8 June 2020,Jayden Vecchio
HS-WF-076,Customer Loyalty Survey Follow-Up: Promoters 9 - 10,On,Contact,Customer Experience,"Sends a customer satisfaction email, waits one day, sets satisfaction to Yes, waits three days, then sends a referral request.",193,Surveys,1 June 2020,Jayden Vecchio
HS-WF-077,[Mercury Trigger] 5.4 sms feedback request,On,Contact,Mercury/CRM Trigger,Sends a feedback request SMS 4 minutes after enrollment to contacts marked Yes for customer satisfaction.,"1,107",Workflows tool,1 June 2020,Jayden Vecchio
HS-WF-078,Meeting notification,On,Contact,Other,Sends an internal email notification to the loans team when a specific meeting form is submitted.,181,Workflows tool,15 November 2019,Jayden Vecchio
HS-WF-079,Information Session - Form Submit > Mercury,On,Contact,Lead Processing,Sends an internal marketing email when a contact submits information session pre-questionnaire forms.,308,Workflows tool,6 November 2019,Jayden Vecchio
HS-WF-080,[Deal] Our Own Compliance Decline,Off,Deal,Other,Enrols deals with status Our Own Compliance Decline but no actions.,,Workflows tool,6 November 2019,Jayden Vecchio
HS-WF-081,Information Session [pre email],Off,Contact,Other,Sends a pre-appointment email 7 minutes after detecting loan status Info Session Booked.,,Workflows tool,28 October 2019,Jayden Vecchio
HS-WF-082,form submission to Mercury,Off,Contact,Lead Processing,,,Workflows tool,28 October 2019,Jayden Vecchio
HS-WF-083,Unnamed Contact workflow (1),Off,Contact,Test/Unused,Delays actions until 12:00 PM after contacts are associated with deals having status info session.,,Workflows tool,28 October 2019,Jayden Vecchio
HS-WF-084,Unnamed Contact workflow (2),Off,Contact,Test/Unused,Enters contacts who opened a specific finance options email but no actions.,,Workflows tool,28 October 2019,Jayden Vecchio
HS-WF-085,[Deal] Update deal owner (cloned),Off,Deal,Deal Management,Updates the deal owner based on current deal owner and associated contacts.,994,Workflows tool,26 October 2019,Jayden Vecchio
HS-WF-086,Deal: Move approved and onwards deals,On,Deal,Deal Management,Updates the deal stage to 4.2 Loan Approved after a 3-minute delay for deals with specific statuses.,"21,090",Workflows tool,26 October 2019,Jayden Vecchio
HS-WF-087,[deal] pre to full,On,Deal,Deal Management,Updates the deal stage to Pre-To-Full three minutes after deal status is Pre-To-Full.,"2,724",Workflows tool,26 October 2019,Jayden Vecchio
HS-WF-088,[Deal] Move 1.2 Lead No answer,On,Deal,Deal Management,"Delays for 3 minutes, then updates the deal stage to 1.2 Lead No Answer.","17,729",Workflows tool,26 October 2019,Jayden Vecchio
HS-WF-089,"Pipeline is Home Loans to Settlement, deal stage is Pre-Settlement",Off,Deal,Deal Management,Enrols deals when the pipeline is Home Loans to Settlement and deal stage is Pre-Settlement; no actions.,,Deal pipeline settings,13 June 2019,
HS-WF-090,Deal: Assign lost to Declined deals,Off,Deal,Deal Management,Updates deals with status containing declined by setting Closed Lost Reason to Declined.,4,Workflows tool,13 June 2019,
HS-WF-091,[1 of 3] Birthday Message with TryCall (v3),Off,Contact,Customer Experience,Sends birthday messages via email and SMS on the contact's birthday.,,Workflows tool,7 June 2019,Jayden Vecchio
HS-WF-092,Enrol if filled out RP Data,On,Contact,Other,Updates email subscriptions and adds contacts to a list when they submit the Free RP Data Report form.,482,Workflows tool,13 May 2019,Jayden Vecchio
HS-WF-093,Future Opp: Subscribe to 5 Bullet,On,Contact,Other,Subscribes contacts with loan status containing future to the 5 Bullet email list.,"11,301",Workflows tool,7 May 2019,Jayden Vecchio
HS-WF-094,HG New Lead SMS from website (facebook),On,Contact,Lead Processing,Updates contact properties and adds new Facebook form leads to a list 1 minute after submission.,6,Workflows tool,10 April 2019,Jayden Vecchio
HS-WF-095,[3 of 3] Birthday Message with TryCall,Off,Contact,Customer Experience,Sends a birthday message via SMS and email after a 3-minute delay.,5,Workflows tool,9 April 2019,Jayden Vecchio
HS-WF-096,Hot leads,Off,Contact,Other,Sends an in-app notification when a contact's HubSpot Score is greater than 21.,11,Workflows tool,5 April 2019,Jayden Vecchio
HS-WF-097,[Mercury Trigger] No Contact: workflow,On,Contact,Mercury/CRM Trigger,"Updates email subscription to opt-in, waits 18 hours, then sends a marketing email to contacts with Loan Status No Contact.",113,Workflows tool,4 April 2019,Jayden Vecchio
HS-WF-098,Customer Loyalty Survey Follow-Up: Detractors 0 - 6,On,Contact,Customer Experience,"Sends a survey email to customers scoring 0-6 on NPS, then notifies a team member to contact urgently.",6,Surveys,19 March 2019,Jayden Vecchio
HS-WF-099,Customer Loyalty Survey Follow-Up: Passives 7 - 8,On,Contact,Customer Experience,Sends a neutral survey email to manually enrolled contacts to follow up with passive customers.,10,Surveys,19 March 2019,Jayden Vecchio
